student_id,name,course,attendance,previous_score,study_hours,grade_percent,grade_letter,pass_fail,predicted_pass_fail,predicted_is_weak
STD000014,Amrita Bose,BCA - Cyber Security,78.8,60.6,2.3,40.0,F,Fail,Fail,1
STD000015,Ananya Das,BTech - Civil,67.8,68.5,1.3,46.0,F,Fail,Fail,1
STD000019,Varun Rao,BTech - IT,68.4,27.0,2.6,52.0,F,Fail,Fail,1
STD000021,Karthik Iyer,BTech - ECE,85.7,81.4,2.3,44.0,F,Fail,Fail,1
STD000022,Isha Patel,BCA - Data Science,74.3,73.0,2.1,50.0,F,Fail,Fail,1
STD000025,Arjun Reddy,BTech - CSE,61.5,87.9,0.0,44.0,F,Fail,Fail,1
STD000031,Raghav Naidu,BSc - Mathematics,72.7,68.3,1.8,41.0,F,Fail,Fail,1
STD000041,Arjun Rathod,BTech - ECE,55.6,65.3,2.8,96.0,F,Fail,Fail,1
STD000046,Pooja Nair,BCA - Data Science,57.4,75.6,3.1,65.0,F,Fail,Fail,1
STD000053,Arjun Rao,BTech - IT,75.6,58.2,0.0,85.0,A,Pass,Fail,1
STD000065,Rahul Sharma,BTech - EEE,82.5,88.9,3.5,46.0,F,Fail,Fail,1
STD000073,Aarav Singh,BCA - Software Engineering,75.7,69.2,1.3,45.0,F,Fail,Fail,1
STD000075,Sana Das,BTech - IT,58.9,85.9,3.8,59.0,F,Fail,Fail,1
STD000076,Sanjay Chopra,BSc - Computer Science,51.9,87.8,0.5,47.0,F,Fail,Fail,1
STD000091,Ananya Rao,BSc - Mathematics,83.2,90.6,2.9,47.0,F,Fail,Fail,1
STD000104,Aarav Gupta,BTech - CSE,54.5,91.0,5.2,85.0,F,Fail,Fail,1
STD000109,Sahil Das,BTech - EEE,90.1,66.1,1.8,43.0,F,Fail,Fail,1
STD000125,Priya Singh,BCA - Software Engineering,56.7,89.3,1.4,97.0,F,Fail,Fail,1
STD000141,Yash Chopra,BTech - CSE,61.7,78.7,0.2,47.0,F,Fail,Fail,1
STD000143,Sahil Jain,BTech - EEE,68.1,39.1,2.9,43.0,F,Fail,Fail,1
STD000169,Neha Reddy,BTech - IT,66.4,91.8,2.4,42.0,F,Fail,Fail,1
STD000177,Varun Singh,BCA - Data Science,74.4,93.3,3.1,46.0,F,Fail,Fail,1
STD000181,Diya Iyer,BSc - Physics,63.9,75.0,3.3,40.0,F,Fail,Fail,1
STD000193,Raghav Rathod,BTech - Civil,51.1,73.7,0.8,52.0,F,Fail,Fail,1
STD000194,Priya Iyer,BTech - Mechanical,69.2,78.7,4.9,48.0,F,Fail,Fail,1
STD000199,Sahil Das,BA - Economics,71.2,80.0,3.7,40.0,F,Fail,Fail,1
STD000200,Rahul Iyer,BSc - Chemistry,56.4,67.3,0.2,44.0,F,Fail,Fail,1
STD000202,Sneha Sharma,BA - Economics,58.9,53.5,2.8,76.0,F,Fail,Fail,1
STD000208,Kiran Iyer,BA - English Literature,100.0,60.7,1.2,43.0,F,Fail,Fail,1
STD000233,Jahnavi Verma,BTech - CSE,77.8,66.6,2.6,44.0,F,Fail,Fail,1
STD000234,Varun Verma,BSc - Biology,85.6,78.2,2.2,44.0,F,Fail,Fail,1
STD000241,Raghav Jain,BTech - CSE,77.9,83.1,2.7,44.0,F,Fail,Fail,1
STD000251,Pooja Yadav,BCA - Data Science,82.1,75.1,3.3,46.0,F,Fail,Fail,1
STD000254,Neha Singh,BA - English Literature,72.2,78.1,2.9,47.0,F,Fail,Fail,1
STD000263,Kiran Reddy,BTech - EEE,58.4,53.1,2.9,85.0,F,Fail,Fail,1
STD000282,Varun Shetty,BCA - Software Engineering,59.0,88.2,4.3,78.0,F,Fail,Fail,1
STD000288,Shreya Gupta,BTech - CSE,59.2,80.0,0.0,95.0,F,Fail,Fail,1
STD000294,Rohan Menon,BSc - Mathematics,58.1,84.0,3.6,100.0,F,Fail,Fail,1
STD000298,Vivaan Singh,BA - Economics,52.8,61.6,0.4,85.0,F,Fail,Fail,1
STD000299,Varun Mishra,BBA - Finance,100.0,37.3,1.8,44.0,F,Fail,Fail,1
STD000302,Amit Mishra,BTech - EEE,68.1,59.0,2.5,47.0,F,Fail,Fail,1
STD000304,Pooja Das,BTech - Mechanical,51.9,75.3,1.2,77.0,F,Fail,Fail,1
STD000305,Vivaan Naidu,BBA - Marketing,100.0,100.0,3.1,43.0,F,Fail,Fail,1
STD000309,Diya Sharma,BTech - ECE,55.3,60.6,4.7,71.0,F,Fail,Fail,1
STD000315,Karthik Khan,BCA - Cyber Security,59.9,65.8,1.9,93.0,F,Fail,Fail,1
STD000339,Sneha Rao,BTech - Mechanical,98.9,48.0,0.4,40.0,F,Fail,Fail,1
STD000346,Sahil Khan,BTech - CSE,94.2,57.7,2.6,40.0,F,Fail,Fail,1
STD000359,Rahul Verma,BCA - Data Science,48.9,78.3,0.1,83.0,F,Fail,Fail,1
STD000372,Arjun Jain,BSc - Computer Science,67.2,75.2,1.4,45.0,F,Fail,Fail,1
STD000385,Raghav Singh,BBA - Finance,69.0,57.5,1.1,53.0,F,Fail,Fail,1
STD000386,Varun Das,BA - Economics,59.4,69.5,2.5,87.0,F,Fail,Fail,1
STD000399,Amrita Chopra,BTech - Civil,97.5,58.3,1.3,43.0,F,Fail,Fail,1
STD000409,Rahul Yadav,BSc - Chemistry,61.2,67.1,0.7,47.0,F,Fail,Fail,1
STD000425,Amit Rathod,BTech - ECE,68.0,63.7,3.1,46.0,F,Fail,Fail,1
STD000427,Shreya Rathod,BSc - Computer Science,68.5,75.1,0.7,49.0,F,Fail,Fail,1
STD000454,Rohan Patel,BTech - Mechanical,83.0,72.5,3.7,40.0,F,Fail,Fail,1
STD000461,Shreya Menon,BTech - ECE,56.2,58.3,1.2,60.0,F,Fail,Fail,1
STD000465,Pooja Menon,BTech - CSE,52.6,90.9,4.8,100.0,F,Fail,Fail,1
STD000466,Pooja Gupta,BBA - Finance,91.2,93.5,3.7,42.0,F,Fail,Fail,1
STD000473,Aditya Chopra,BSc - Mathematics,55.0,83.2,1.2,72.0,F,Fail,Fail,1
STD000487,Sneha Chopra,BSc - Computer Science,78.0,90.5,2.8,40.0,F,Fail,Fail,1
STD000506,Meera Jain,BCA - Data Science,68.5,64.6,2.8,44.0,F,Fail,Fail,1
STD000513,Arjun Yadav,BCA - Data Science,76.2,62.3,1.7,47.0,F,Fail,Fail,1
STD000528,Anjali Singh,BTech - IT,67.5,56.8,2.4,41.0,F,Fail,Fail,1
STD000537,Anjali Gupta,BSc - Chemistry,46.7,60.3,2.7,64.0,F,Fail,Fail,1
STD000546,Neha Naidu,BA - English Literature,58.6,68.9,2.8,62.0,F,Fail,Fail,1
